!SIL 1.0	SIL
<UNK> 1.0	SPN
FOUND 1.0	F AW N D
FEATHER 1.0	F EH DH ER
TOMORROW 1.0	T AH M AA R OW
SMART 1.0	S M AA R T
FROWNING 1.0	F R AW N IH NG
DROWNING 1.0	D R AW N IH NG
SHOWED 1.0	SH OW D
TASTE 1.0	T EY S T
PLEASED 1.0	P L IY Z D
NOTHING'S 1.0	N AH TH IH NG Z
OWE 1.0	OW
WALLS 1.0	W AO L Z
SWIRLING 1.0	S W ER L IH NG
CALL 1.0	K AO L
ANIMAL 1.0	AE N AH M AH L
SHE'S 1.0	SH IY Z
SKILL 1.0	S K IH L
SMILES 1.0	S M AY L Z
RIPPED 1.0	R IH P T
CHASING 1.0	CH EY S IH NG
INTENDED 1.0	IH N T EH N D AH D
PEOPLE 1.0	P IY P AH L
FLIPPED 1.0	F L IH P T
LIMIT 1.0	L IH M AH T
ALTHOUGH 1.0	AO L DH OW
MIND'S 1.0	M AY N D Z
SUFFER 1.0	S AH F ER
TRUE 1.0	T R UW
STUDY 1.0	S T AH D IY
THAT'S 1.0	DH AE T S
HEAVY 1.0	HH EH V IY
SAM 1.0	S AE M
JUMPED 1.0	JH AH M P T
SAD 1.0	S AE D
FANGS 1.0	F AE NG Z
SAY 1.0	S EY
TENNESSEE 1.0	T EH N AH S IY
ESCORT 1.0	EH S K AO R T
PAPERS 1.0	P EY P ER Z
LOSING 1.0	L UW Z IH NG
SAW 1.0	S AO
BIRDS 1.0	B ER D Z
SAT 1.0	S AE T
SPITTING 1.0	S P IH T IH NG
DRAINED 1.0	D R EY N D
JAY 1.0	JH EY
FELT 1.0	F EH L T
MIDNIGHT 1.0	M IH D N AY T
WEDNESDAY 1.0	W EH N Z D IY
SHONE 1.0	SH OW N
LIGHTNING 1.0	L AY T N IH NG
HIGH 1.0	HH AY
FELL 1.0	F EH L
DELICATE 1.0	D EH L AH K AH T
LEARNING 1.0	L ER N IH NG
STRINGS 1.0	S T R IH NG Z
TROUT 1.0	T R AW T
MYSELF 1.0	M AY S EH L F
SWAYING 1.0	S W EY IH NG
COOLER 1.0	K UW L ER
DECISION 1.0	D IH S IH ZH AH N
MONTH 1.0	M AH N TH
HONEY 1.0	HH AH N IY
STICK 1.0	S T IH K
'CAUSE 1.0	K AH Z
MONEY 1.0	M AH N IY
SNAP 1.0	S N AE P
ORDINARY 1.0	AO R D AH N EH R IY
LEMME 1.0	L EH M AH
APART 1.0	AH P AA R T
HORSE 1.0	HH AO R S
HEADS 1.0	HH EH D Z
FAZED 1.0	F EY Z D
CHOKING 1.0	CH OW K IH NG
FAIRYTALE 1.0	F EH R IY T EY L
SOME 1.0	S AH M
REFLECTIONS 1.0	R IH F L EH K SH AH N Z
DOMESTICATE 1.0	D AH M EH S T AH K EY T
COUNTING 1.0	K AW N T IH NG
DESERT 1.0	D EH Z ER T
CARRIED 1.0	K AE R IY D
LOVE'S 1.0	L AH V Z
BEGIN 1.0	B IH G IH N
LONGER 1.0	L AO NG G ER
JAMMING 1.0	JH AE M IH NG
SHARE 1.0	SH EH R
CLUE 1.0	K L UW
CHANEL 1.0	SH AH N EH L
SOCIETY 1.0	S AH S AY AH T IY
POETIC 1.0	P OW EH T IH K
DRUMS 1.0	D R AH M Z
BLANK 1.0	B L AE NG K
SHARP 1.0	SH AA R P
SPECIAL 1.0	S P EH SH AH L
UNLESS 1.0	AH N L EH S
VALERIE 1.0	V AE L ER IY
LIED 1.0	L AY D
PAYS 1.0	P EY Z
SCARED 1.0	S K EH R D
EFFECT 1.0	IH F EH K T
YOUTH 1.0	Y UW TH
LIES 1.0	L AY Z
TICKING 1.0	T IH K IH NG
TWILIGHT 1.0	T W AY L AY T
BIGGER 1.0	B IH G ER
WORE 1.0	W AO R
LOVERS 1.0	L AH V ER Z
ANYTHING 1.0	EH N IY TH IH NG
FREELY 1.0	F R IY L IY
MULHOLLAND 1.0	M AH L HH AA L AH N D
CREW 1.0	K R UW
GLASS 1.0	G L AE S
AMERICAN 1.0	AH M EH R AH K AH N
LAUGHING 1.0	L AE F IH NG
TIME 1.0	T AY M
WATCHED 1.0	W AA CH T
JUNGLE 1.0	JH AH NG G AH L
HAPPENED 1.0	HH AE P AH N D
JERSEY 1.0	JH ER Z IY
EVERYBODY 1.0	EH V R IY B AA D IY
YOU'RE 1.0	Y UH R
CONCEIVED 1.0	K AH N S IY V D
WORKING 1.0	W ER K IH NG
HEATED 1.0	HH IY T AH D
TRAVELED 1.0	T R AE V AH L D
FIGURED 1.0	F IH G Y ER D
SILLY 1.0	S IH L IY
AGENT 1.0	EY JH AH N T
SEX 1.0	S EH K S
MIGHT 1.0	M AY T
WIPE 1.0	W AY P
DESTINY 1.0	D EH S T AH N IY
LOOKIN' 1.0	L UH K IH N
LAND 1.0	L AE N D
JUSTIN 1.0	JH AH S T AH N
PROPHETS 1.0	P R AA F AH T S
RECOGNIZE 1.0	R EH K AH G N AY Z
C'EST 1.0	S EH S T
THEORIES 1.0	TH IH R IY Z
GIVIN' 1.0	G IH V IH N
COME 1.0	K AH M
PYRE 1.0	P AY ER
BELIEVE 1.0	B IH L IY V
SUN'S 1.0	S AH N Z
ONCE 1.0	W AH N S
HAPPENS 1.0	HH AE P AH N Z
B 1.0	B IY
TEMPTING 1.0	T EH M P T IH NG
GROTTO 1.0	G R AA T OW
BUMP 1.0	B AH M P
DANGEROUS 1.0	D EY N JH ER AH S
IMAGINE 1.0	IH M AE JH AH N
BEYONCE 1.0	B IH Y AO N S EY
MOTHERFUCKER 1.0	M AH DH ER F AH K ER
TIRING 1.0	T AY R IH NG
ROCKIN' 1.0	R AA K IH N
OFFENSE 1.0	AH F EH N S
SURVIVE 1.0	S ER V AY V
SHIP 1.0	SH IH P
PIECE 1.0	P IY S
TRIP 1.0	T R IH P
SHIT 1.0	SH IH T
WAIT 1.0	W EY T
GIRL'S 1.0	G ER L Z
ASH 1.0	AE SH
OFFERING 1.0	AO F ER IH NG
TWENTY 1.0	T W EH N T IY
CHASED 1.0	CH EY S T
BREAK 1.0	B R EY K
CRYING 1.0	K R AY IH NG
PULLS 1.0	P UH L Z
TUB 1.0	T AH B
ARRANGE 1.0	ER EY N JH
SPEED 1.0	S P IY D
SYMPHONIES 1.0	S IH M F AH N IY Z
BRIDGE 1.0	B R IH JH
ATTENTION 1.0	AH T EH N SH AH N
CLEOPATRA 1.0	K L IY AH P AE T R AH
BIGGEST 1.0	B IH G AH S T
FINISHED 1.0	F IH N IH SH T
DRANK 1.0	D R AE NG K
ALLEGIANCE 1.0	AH L IY JH AH N S
UNDERESTIMATE 1.0	AH N D ER EH S T AH M EY T
SHADOW 1.0	SH AE D OW
QUEENS 1.0	K W IY N Z
TRASH 1.0	T R AE SH
RECOVERY 1.0	R IH K AH V R IY
PROBLEMS 1.0	P R AA B L AH M Z
HIGHS 1.0	HH AY Z
NEVER 1.0	N EH V ER
HOW'D 1.0	HH AW D
POP 1.0	P AA P
HOUNDS 1.0	HH AW N D Z
RACE 1.0	R EY S
JAIL 1.0	JH EY L
LEGENDARY 1.0	L EH JH AH N D EH R IY
HERB 1.0	ER B
IMAGINARY 1.0	IH M AE JH AH N EH R IY
CAME 1.0	K EY M
GLOOM 1.0	G L UW M
KEEPING 1.0	K IY P IH NG
MOTIONS 1.0	M OW SH AH N Z
LEND 1.0	L EH N D
NURSES 1.0	N ER S AH Z
SKIP 1.0	S K IH P
DIAMONDS 1.0	D AY M AH N D Z
PLEASANT 1.0	P L EH Z AH N T
YOU'LL 1.0	Y UW L
MILE 1.0	M AY L
GINGER 1.0	JH IH N JH ER
SKIN 1.0	S K IH N
SPLATTERED 1.0	S P L AE T ER D
WROTE 1.0	R OW T
GROUND 1.0	G R AW N D
EVENING 1.0	IY V N IH NG
MESS 1.0	M EH S
DICE 1.0	D AY S
WIZARD 1.0	W IH Z ER D
MAN'S 1.0	M AE N Z
NICK 1.0	N IH K
FEELS 1.0	F IY L Z
SLEEP 1.0	S L IY P
OPPOSITES 1.0	AA P AH Z AH T S
TUESDAY'S 1.0	T UW Z D IY Z
EASIER 1.0	IY Z IY ER
NICE 1.0	N AY S
SHOOT 1.0	SH UW T
KATY 1.0	K EY T IY
ATMOSPHERE 1.0	AE T M AH S F IH R
BREAD 1.0	B R EH D
FOLLOWED 1.0	F AA L OW D
BALLERINA 1.0	B AE L ER IY N AH
SKY'S 1.0	S K AY Z
PAY 1.0	P EY
FOLLOWER 1.0	F AA L OW ER
DISTURBED 1.0	D IH S T ER B D
ALRIGHT 1.0	AO L R AY T
CHANGING 1.0	CH EY N JH IH NG
SORRY 1.0	S AA R IY
PRIDE 1.0	P R AY D
STEAL 1.0	S T IY L
FADING 1.0	F EY D IH NG
STANDING 1.0	S T AE N D IH NG
SHE'LL 1.0	SH IY L
LUNGS 1.0	L AH NG Z
CONVERSATIONS 1.0	K AA N V ER S EY SH AH N Z
NAIVE 1.0	N AY IY V
DOLL 1.0	D AA L
WORLD'S 1.0	W ER L D Z
LIVE 1.0	L AY V
BROKE 1.0	B R OW K
DOLPHINS 1.0	D AA L F AH N Z
STANDIN' 1.0	S T AE N D IH N
BLUE 1.0	B L UW
TRUNK 1.0	T R AH NG K
K 1.0	K EY
ANGELS' 1.0	EY N JH AH L Z
SIGN 1.0	S AY N
JOKER 1.0	JH OW K ER
PRESSURE 1.0	P R EH SH ER
WET 1.0	W EH T
X 1.0	EH K S
FARMING 1.0	F AA R M IH NG
WHERE 1.0	W EH R
SECURITY 1.0	S IH K Y UH R AH T IY
GALAXY 1.0	G AE L AH K S IY
GLOW 1.0	G L OW
STRAIGHT 1.0	S T R EY T
SEND 1.0	S EH N D
LATELY 1.0	L EY T L IY
BEAST 1.0	B IY S T
SWALLOW 1.0	S W AA L OW
WE'D 1.0	W IY D
SHAM 1.0	SH AE M
HARDLY 1.0	HH AA R D L IY
HEADING 1.0	HH EH D IH NG
SENT 1.0	S EH N T
STICKING 1.0	S T IH K IH NG
DEPARTURE 1.0	D IH P AA R CH ER
FREEWAY 1.0	F R IY W EY
STATIC 1.0	S T AE T IH K
SUCH 1.0	S AH CH
REPEATING 1.0	R IH P IY T IH NG
HUNDRED 1.0	HH AH N D R AH D
BOAT 1.0	B OW T
STRESS 1.0	S T R EH S
BUY 1.0	B AY
SCREAMS 1.0	S K R IY M Z
FLESH 1.0	F L EH SH
SECONDS 1.0	S EH K AH N D Z
BUS 1.0	B AH S
RIDE 1.0	R AY D
BUT 1.0	B AH T
KARAOKE 1.0	K EH R IY OW K IY
TILL 1.0	T IH L
BUM 1.0	B AH M
MEET 1.0	M IY T
SKELETONS 1.0	S K EH L AH T AH N Z
STARTER 1.0	S T AA R T ER
FINISH 1.0	F IH N IH SH
LOVE 1.0	L AH V
ESTRANGED 1.0	EH S T R EY N JH D
GETAWAY 1.0	G EH T AH W EY
SUGAR 1.0	SH UH G ER
ROSES 1.0	R OW Z IH Z
SUPPOSE 1.0	S AH P OW Z
HALF 1.0	HH AE F
SEXY 1.0	S EH K S IY
FORGIVENESS 1.0	F ER G IH V N AH S
HALL 1.0	HH AO L
VICTOR 1.0	V IH K T ER
CLOSER 1.0	K L OW S ER
HITS 1.0	HH IH T S
LOCKED 1.0	L AA K T
NECK 1.0	N EH K
SCREAM 1.0	S K R IY M
JOKE 1.0	JH OW K
GUILTY 1.0	G IH L T IY
CRUEL 1.0	K R UW AH L
DISCUSS 1.0	D IH S K AH S
MOVIES 1.0	M UW V IY Z
COMPLICATED 1.0	K AA M P L AH K EY T AH D
MOM 1.0	M AA M
ALONE 1.0	AH L OW N
ALONG 1.0	AH L AO NG
GIVE 1.0	G IH V
ANGRY 1.0	AE NG G R IY
STEP 1.0	S T EH P
WRITING 1.0	R AY T IH NG
VENOM 1.0	V EH N AH M
ROBBERY 1.0	R AA B ER IY
DESTROY 1.0	D IH S T R OY
LEMON 1.0	L EH M AH N
KEEP 1.0	K IY P
KNOWLEDGE 1.0	N AA L AH JH
SNOWMAN 1.0	S N OW M AE N
DAUGHTER 1.0	D AO T ER
DRIVING 1.0	D R AY V IH NG
SLATE 1.0	S L EY T
TORN 1.0	T AO R N
QUESTIONING 1.0	K W EH S CH AH N IH NG
ROTTING 1.0	R AA T IH NG
WERE 1.0	W ER
ARRIVE 1.0	ER AY V
FURTHER 1.0	F ER DH ER
FLEETING 1.0	F L IY T IH NG
CD 1.0	S IY D IY
WITNESSES 1.0	W IH T N AH S AH Z
SORE 1.0	S AO R
ZERO 1.0	Z IH R OW
FIRESTONE 1.0	F AY R S T OW N
EVERYTHING'S 1.0	EH V R IY TH IH NG Z
POPPING 1.0	P AA P IH NG
OVERDUE 1.0	OW V ER D UW
MAJOR 1.0	M EY JH ER
COCAINE 1.0	K OW K EY N
SHUT 1.0	SH AH T
NAME 1.0	N EY M
CERTAIN 1.0	S ER T AH N
BLANKET 1.0	B L AE NG K AH T
SADNESS 1.0	S AE D N AH S
TREES 1.0	T R IY Z
HONEST 1.0	AA N AH S T
EMBARRASSED 1.0	IH M B EH R AH S T
FREAKED 1.0	F R IY K T
TYPES 1.0	T AY P S
HOLLERING 1.0	HH AA L ER IH NG
WORSHIP 1.0	W ER SH AH P
WASHING 1.0	W AA SH IH NG
DANCED 1.0	D AE N S T
HATED 1.0	HH EY T AH D
DANCER 1.0	D AE N S ER
LOW 1.0	L OW
LOT 1.0	L AA T
LEARN 1.0	L ER N
PIZZA 1.0	P IY T S AH
INVITED 1.0	IH N V AY T AH D
LASHES 1.0	L AE SH IH Z
REMIND 1.0	R IY M AY N D
CLOSURE 1.0	K L OW ZH ER
DEMEANOR 1.0	D IH M IY N ER
BOOMBOX 1.0	B UH M B AA K S
TESTIFIED 1.0	T EH S T AH F AY D
RECORD 1.0	R AH K AO R D
INSINCERE 1.0	IH N S IH N S IH R
SPEECH 1.0	S P IY CH
ANOTHER 1.0	AH N AH DH ER
LONELY 1.0	L OW N L IY
RETURNED 1.0	R IH T ER N D
HASN'T 1.0	HH AE Z AH N T
NATION 1.0	N EY SH AH N
HEARTED 1.0	HH AA R T AH D
BELOW 1.0	B IH L OW
EVIL 1.0	IY V AH L
Y 1.0	W AY
FIRE'S 1.0	F AY ER Z
CRISIS 1.0	K R AY S AH S
LULLABY 1.0	L AH L AH B AY
MISSED 1.0	M IH S T
LAUGHTER 1.0	L AE F T ER
PUSHING 1.0	P UH SH IH NG
LAMP 1.0	L AE M P
TRUST 1.0	T R AH S T
ANGELS 1.0	EY N JH AH L Z
RECOGNITION 1.0	R EH K AH G N IH SH AH N
DRY 1.0	D R AY
LIVIN' 1.0	L IH V IH N
WHICH 1.0	W IH CH
FATE 1.0	F EY T
THAT 1.0	DH AE T
MOVE 1.0	M UW V
SNOWS 1.0	S N OW Z
TAKEN 1.0	T EY K AH N
CANT 1.0	K AE N T
FLOATING 1.0	F L OW T IH NG
TIPPING 1.0	T IH P IH NG
THAN 1.0	DH AE N
REFRIGERATOR 1.0	R AH F R IH JH ER EY T ER
FRIGHTENED 1.0	F R AY T AH N D
LIKED 1.0	L AY K T
FLOWER 1.0	F L AW ER
NATHAN 1.0	N EY TH AH N
CLASSIC 1.0	K L AE S IH K
SWEET 1.0	S W IY T
THEM 1.0	DH EH M
SWEEP 1.0	S W IY P
LEAVING 1.0	L IY V IH NG
BEATS 1.0	B IY T S
SETTLE 1.0	S EH T AH L
LIKES 1.0	L AY K S
CASTLE 1.0	K AE S AH L
VALLEY 1.0	V AE L IY
ALLY 1.0	AE L AY
FLIES 1.0	F L AY Z
CRIMINALS 1.0	K R IH M AH N AH L Z
D 1.0	D IY
ON 1.0	AA N
PROVIDE 1.0	P R AH V AY D
NEEDLE 1.0	N IY D AH L
FEATURE 1.0	F IY CH ER
MISTAKEN 1.0	M IH S T EY K AH N
SHORT 1.0	SH AO R T
MISTAKES 1.0	M IH S T EY K S
KISS 1.0	K IH S
KNOCKED 1.0	N AA K T
WANNA 1.0	W AA N AH
VOGUE 1.0	V OW G
LIVING 1.0	L IH V IH NG
LIVED 1.0	L AY V D
LIPSTICK 1.0	L IH P S T IH K
WORRIED 1.0	W ER IY D
LIVES 1.0	L IH V Z
FIFTH 1.0	F IH F TH
SACRED 1.0	S EY K R AH D
AUTHORITIES 1.0	AH TH AO R AH T IY Z
AUDITORIUM 1.0	AO D AH T AO R IY AH M
SURE 1.0	SH UH R
PAIN 1.0	P EY N
WINDOWS 1.0	W IH N D OW Z
STORMS 1.0	S T AO R M Z
MOTEL 1.0	M OW T EH L
KNEW 1.0	N UW
WICHITA 1.0	W IH CH AH T AO
RIDICULOUS 1.0	R IH D IH K Y AH L AH S
GAMES 1.0	G EY M Z
HO 1.0	HH OW
MAKIN' 1.0	M EY K IH N
GLAD 1.0	G L AE D
KNEE 1.0	N IY
SOUNDS 1.0	S AW N D Z
HA 1.0	HH AA
TATTOOED 1.0	T AE T UW D
HE 1.0	HH IY
HEAVEN 1.0	HH EH V AH N
RACED 1.0	R EY S T
SURVIVOR 1.0	S ER V AY V ER
PLUNDER 1.0	P L AH N D ER
COPE 1.0	K OW P
BEGGING 1.0	B EH G IH NG
HAUNTING 1.0	HH AO N T IH NG
SLIPPING 1.0	S L IH P IH NG
FUTURE 1.0	F Y UW CH ER
PULLING 1.0	P UH L IH NG
RED 1.0	R EH D
SCRATCHES 1.0	S K R AE CH AH Z
BLINDING 1.0	B L AY N D IH NG
INFORMATION 1.0	IH N F ER M EY SH AH N
REPEAT 1.0	R IH P IY T
ELSE'S 1.0	EH L S IH Z
LATCHING 1.0	L AE CH IH NG
OW 1.0	OW
HATER 1.0	HH EY T ER
SMELLS 1.0	S M EH L Z
SIZE 1.0	S AY Z
DIAMOND 1.0	D AY M AH N D
WOOS 1.0	W UW Z
THING 1.0	TH IH NG
SPARKS 1.0	S P AA R K S
WILDEST 1.0	W AY L D IH S T
SENSE 1.0	S EH N S
UPRIGHT 1.0	AH P R AY T
WOOL 1.0	W UH L
CHAINS 1.0	CH EY N Z
IMPERFECTIONS 1.0	IH M P ER F EH K SH AH N Z
TOCK 1.0	T AA K
SUE 1.0	S UW
DROP 1.0	D R AA P
EATING 1.0	IY T IH NG
GRATEFUL 1.0	G R EY T F AH L
PARDON 1.0	P AA R D AH N
SUN 1.0	S AH N
TENDS 1.0	T EH N D Z
TURNED 1.0	T ER N D
PLAYGROUND 1.0	P L EY G R AW N D
DEEP 1.0	D IY P
PREPARED 1.0	P R IY P EH R D
TWICE 1.0	T W AY S
GAME 1.0	G EY M
SHOTS 1.0	SH AA T S
HOES 1.0	HH OW Z
HELPLESS 1.0	HH EH L P L AH S
GRASS 1.0	G R AE S
WARD 1.0	W AO R D
CAUSES 1.0	K AA Z AH Z
SLOW 1.0	S L OW
TEN 1.0	T EH N
HAPPILY 1.0	HH AE P AH L IY
STREETS 1.0	S T R IY T S
CONTENDER 1.0	K AH N T EH N D ER
POLAROID 1.0	P OW L ER OY D
HAUNT 1.0	HH AO N T
PIPE 1.0	P AY P
BRAND 1.0	B R AE N D
STUPID 1.0	S T UW P AH D
SLOB 1.0	S L AA B
STOPPING 1.0	S T AA P IH NG
AFFECT 1.0	AH F EH K T
INDIFFERENT 1.0	IH N D IH F R AH N T
SUPPORT 1.0	S AH P AO R T
MERCY 1.0	M ER S IY
ADORATION 1.0	AE D ER EY SH AH N
STRIPPED 1.0	S T R IH P T
ALBINO 1.0	AE L B AY N OW
WRITE 1.0	R AY T
ADMIT 1.0	AH D M IH T
RENT 1.0	R EH N T
CLAW 1.0	K L AO
CONSEQUENCE 1.0	K AA N S AH K W AH N S
FRESH 1.0	F R EH SH
PROBLEM 1.0	P R AA B L AH M
DEW 1.0	D UW
BORDER 1.0	B AO R D ER
HELLO 1.0	HH AH L OW
GASSED 1.0	G AE S T
JESSIE 1.0	JH EH S IY
ZONE 1.0	Z OW N
WAYS 1.0	W EY Z
REDEEM 1.0	R IH D IY M
DRIFTS 1.0	D R IH F T S
SAFETY 1.0	S EY F T IY
CLAP 1.0	K L AE P
LEFT 1.0	L EH F T
CROWDS 1.0	K R AW D Z
RECKLESS 1.0	R EH K L AH S
ONE'S 1.0	W AH N Z
LESSONS 1.0	L EH S AH N Z
CARIBBEAN 1.0	K ER IH B IY AH N
EVERYONE'S 1.0	EH V R IY W AH N Z
YOUNG 1.0	Y AH NG
PAIR 1.0	P EH R
BACKBOARD 1.0	B AE K B AO D
GRIN 1.0	G R IH N
HEARTBEAT 1.0	HH AA R T B IY T
BLURRED 1.0	B L ER D
SEMINAL 1.0	S EH M AH N AH L
ANGEL 1.0	EY N JH AH L
REMOVED 1.0	R IY M UW V D
MEANING 1.0	M IY N IH NG
SCREENS 1.0	S K R IY N Z
ALSO 1.0	AO L S OW
BLOCK 1.0	B L AA K
